190544	A. Ljajić	Serbia
190286	Canales	Spain
190243	M. Hitz	Switzerland
190223	Balenziaga	Spain
189963	W. Bony	Ivory Coast
189433	B. Hübner	Germany
189271	F. Coquelin	France
189169	Jonathas	Brazil
188955	G. Bou	Argentina
188524	V. Babacan	Turkey
188428	S. Doumbia	Ivory Coast
187457	C. Noboa	Ecuador
187347	I. Smolnikov	Russia
187324	Maurício	Brazil
186307	M. Fabián	Mexico
186148	R. Zieler	Germany
186132	D. Drinkwater	England
185103	A. Kolarov	Serbia
184949	Mariano	Brazil
184881	S. Feghouli	Algeria
184477	K. Papadopoulos	Greece
184069	S. Wagner	Germany
183899	P. Piatti	Argentina
183893	C. Yacob	Argentina
183855	A. Ogbonna	Italy
183666	Roberto	Spain
183108	N. Amrabat	Morocco
181402	W. Vainqueur	France
180334	Marcelo	Brazil
178424	Antunes	Portugal
177723	Fabricio	Spain
177578	S. Prödl	Austria
177519	S. Tasci	Germany
177159	F. Johnson	United States
176993	Bojan	Spain
176944	M. Fellaini	Belgium
176731	P. Wernbloom	Sweden
176571	A. Ayew	Ghana
176550	D. Ospina	Colombia
176285	W. Reid	New Zealand
176266	Lucas Leiva	Brazil
173474	Z. Junuzović	Austria
173306	C. Ansaldi	Argentina
172962	V. Moses	Nigeria
172290	D. Zurutuza	France
172114	D. Valeri	Argentina
171791	José Fonte	Portugal
170797	N. Şahin	Turkey
170733	Gervinho	Ivory Coast
170369	G. dos Santos	Mexico
169596	R. Shawcross	England
169588	J. Evans	Northern Ireland
168435	S. Sirigu	Italy
168320	A. Gyan	Ghana
167943	Y. Cabaye	France
166072	Danilo	Brazil
165501	N. Pareja	Argentina
165109	S. Radu	Romania
160741	D. Abraham	Argentina
159240	M. Krohn-Dehli	Denmark
159171	Jurado	Spain
159145	B. Gomis	France
156519	H. Herrera	Mexico
148711	Luisão	Brazil
148122	V. Berezutskiy	Russia
148119	I. Akinfeev	Russia
147782	I. Denisov	Russia
147621	A. Samedov	Russia
146482	Xabi Prieto	Spain
146439	Negredo	Spain
142902	A. Pyatov	Ukraine
142784	P. Zabaleta	Argentina
140233	G. Ochoa	Mexico
139062	W. Caballero	Argentina
137809	Vágner Love	Brazil
137677	M. Vorm	Netherlands
137351	D. Baier	Germany
135451	Gomes	Brazil
121933	R. Adler	Germany
49031	S. Sorrentino	Italy
8473	T. Rosický	Czech Republic
7763	A. Pirlo	Italy
6826	G. Barry	England
80	E. Belözoğlu	Turkey
229909	A. Lunev	Russia
228941	André Silva	Portugal
228687	K. Dolberg	Denmark
227950	Yeray	Spain
227796	C. Pulisic	United States
227234	L. Tousart	France
226753	A. Onana	Cameroon
225199	V. Koziello	France
225028	N. Radoja	Serbia
223874	V. Rongier	France
223627	O. Al Soma	Syria
223061	F. Cervi	Argentina
223033	Jorge Meré	Spain
222943	Jony	Spain
222558	R. Karsdorp	Netherlands
222509	Dani Ceballos	Spain
221992	H. Lozano	Mexico
221540	Raúl	Brazil
221087	Pau López	Spain
219985	M. Vecino	Uruguay
219932	A. Sanabria	Paraguay
219576	R. Battaglia	Argentina
219411	J. Izquierdo	Colombia
217877	T. Bongonda	Belgium
216778	Rúben Semedo	Portugal
216547	Rafa	Portugal
216475	Morales	Spain
216189	Capa	Spain
216065	M. Sportiello	Italy
215333	D. Zapata	Colombia
215061	D. Benedetto	Argentina
213582	A. Ruiz	Argentina
213400	D. Laxalt	Uruguay
213135	D. Origi	Belgium
212977	N. Stark	Germany
212911	Hernâni	Portugal
212230	Iuri Medeiros	Portugal
212198	Bruno Fernandes	Portugal
212153	R. Gagliardini	Italy
211119	Pedro Santos	Portugal
210930	Carles Gil	Spain
210679	Paulo Oliveira	Portugal
210333	A. Szymanowski	Argentina
210282	Bruno Peres	Brazil
209997	K. Wimmer	Austria
209307	Tiago Volpi	Brazil
208574	F. Kostić	Serbia
208230	A. Samaris	Greece
208135	A. Doucouré	France
207939	G. Pizarro	Argentina
207877	J. Martínez	Venezuela
207862	M. Ginter	Germany
207494	J. Lingard	England
206591	M. Weiser	Germany
206225	D. Cheryshev	Russia
206222	Bigas	Spain
206198	D. Heintz	Germany
205923	B. Davies	Wales
205633	L. Castro	Argentina
205569	J. Ward-Prowse	England
205114	T. Inui	Japan
204923	M. Sabitzer	Austria
204884	B. Mendy	France
204838	R. Jiménez	Mexico
204819	E. Sala	Argentina
204240	B. Reynet	France
204077	M. Niang	France
203980	K. Fortounis	Greece
203895	Pozuelo	Spain
203627	Joãozinho	Brazil
203605	P. Kadeřábek	Czech Republic
203535	T. Vilhena	Netherlands
203362	M. Elyounoussi	Norway
203106	L. Bittencourt	Germany
202648	Sergi Darder	Spain
202325	D. Demme	Germany
201878	V. Eysseric	France
201508	G. Ramírez	Uruguay
201505	David López	Spain
201325	C. Tătăruşanu	Romania
201144	M. Badelj	Croatia
201143	A. Mandi	Algeria
201119	Ismaily	Brazil
201095	A. Marchesín	Argentina
201013	L. Teodorczyk	Poland
200798	Marafona	Portugal
200726	B. Lecomte	France
200529	N. Chadli	Belgium
200215	S. Rode	Germany
199767	M. van Ginkel	Netherlands
199626	André André	Portugal
199602	J. Guidetti	Sweden
199304	Danilo	Brazil
199069	V. Aboubakar	Cameroon
199042	C. Aránguiz	Chile
198614	Raúl Navas	Spain
198584	K. Mbodj	Senegal
198329	Rodrigo	Spain
198140	R. Funes Mori	Argentina
198113	M. Höger	Germany
197225	N. Lodeiro	Uruguay
197083	D. Caligiuri	Italy
196889	S. Verdi	Italy
196432	E. Pérez	Argentina
196150	T. Gutiérrez	Colombia
195671	C. Austin	England
189296	E. Berisha	Albania
163186	G. Gillet	Belgium
142707	L. López	Argentina
194932	A. Townsend	England
206198	D. Heintz	Germany
203895	Pozuelo	Spain
157304	T. Vermaelen	Belgium
168312	I. Abate	Italy
134779	J. Briand	France
204923	M. Sabitzer	Austria
216189	Capa	Spain
112253	J. Toulalan	France
138110	Bruno Alves	Portugal
16254	T. Howard	United States
142721	M. Barovero	Argentina
199042	C. Aránguiz	Chile
223874	V. Rongier	France
45186	Joaquín	Spain
207494	J. Lingard	England
168326	S. Bocchetti	Italy
201095	A. Marchesín	Argentina
189575	Muniain	Spain
199304	Danilo	Brazil
158856	C. Gentner	Germany
223627	O. Al Soma	Syria
165517	F. Gago	Argentina
206222	Bigas	Spain
213135	D. Origi	Belgium
206225	D. Cheryshev	Russia
7826	R. van Persie	Netherlands
178322	M. Layún	Mexico
201878	V. Eysseric	France
202648	Sergi Darder	Spain
213400	D. Laxalt	Uruguay
209307	Tiago Volpi	Brazil
216475	Morales	Spain
199069	V. Aboubakar	Cameroon
210333	A. Szymanowski	Argentina
188829	N. Nkoulou	Cameroon
112542	S. Ignashevich	Russia
201119	Ismaily	Brazil
221087	Pau López	Spain
168607	Rafinha	Brazil
227234	L. Tousart	France
13732	J. Terry	England
152996	P. Skjelbred	Norway
158372	I. Afellay	Netherlands
163492	N. Lombaerts	Belgium
178085	Granero	Spain
189606	J. Baumgartlinger	Austria
152999	R. Palacio	Argentina
188840	Miguel Lopes	Portugal
189354	Susaeta	Spain
153260	Hilton	Brazil
187052	Y. M'Vila	France
211119	Pedro Santos	Portugal
212911	Hernâni	Portugal
225199	V. Koziello	France
199602	J. Guidetti	Sweden
194996	Borja Bastón	Spain
158133	J. Farfán	Peru
186805	J. Montero	Ecuador
201143	A. Mandi	Algeria
198584	K. Mbodj	Senegal
201144	M. Badelj	Croatia
219576	R. Battaglia	Argentina
165560	M. Ruben	Argentina
123576	M. Borriello	Italy
198329	Rodrigo	Spain
212153	R. Gagliardini	Italy
2492	Eliseu	Portugal
208574	F. Kostić	Serbia
226753	A. Onana	Cameroon
178625	Mosquera	Spain
188103	Rochina	Spain
199626	André André	Portugal
216778	Rúben Semedo	Portugal
138699	B. Džemaili	Switzerland
203980	K. Fortounis	Greece
147660	S. Ryzhikov	Russia
188879	A. N'Diaye	Senegal
204240	B. Reynet	France
153296	Y. Gourcuff	France
186832	K. Asamoah	Ghana
183249	R. Bobadilla	Paraguay
192722	R. Hamouma	France
227796	C. Pulisic	United States
174549	M. Fernández	Chile
186581	K. Honda	Japan
198614	Raúl Navas	Spain
187607	A. Dzyuba	Russia
124375	B. Yılmaz	Turkey
182744	J. Holebas	Greece
192984	K. Casteels	Belgium
161754	Javi García	Spain
197083	D. Caligiuri	Italy
192476	Fontàs	Spain
169181	K. Vermeer	Netherlands
222943	Jony	Spain
192991	C. Tosun	Turkey
198113	M. Höger	Germany
157665	S. Dann	England
216547	Rafa	Portugal
189157	Y. Bolasie	DR Congo
212198	Bruno Fernandes	Portugal
187366	D. Glushakov	Russia
188135	Juanfran	Spain
186345	K. Trippier	England
169706	J. Cork	England
180714	Guilherme	Russia
176619	A. Ramos	Colombia
155887	M. Bradley	United States
189423	Souza	Brazil
178160	T. Mangani	France
212977	N. Stark	Germany
189681	Rafael	Brazil
210930	Carles Gil	Spain
164082	Adriano	Brazil
189682	B. Mee	England
207862	M. Ginter	Germany
210679	Paulo Oliveira	Portugal
155897	C. Dempsey	United States
198140	R. Funes Mori	Argentina
206591	M. Weiser	Germany
160000	H. Briceldo	Chile
185090	B. Moukandjo	Cameroon
197891	Juanmi	Spain
220932	L. Kalinić	Croatia
183556	N. Subotić	Serbia
200197	N. Blandi	Argentina
210950	P. De Blasis	Argentina
188166	M. Phillips	Scotland
193290	M. Braithwaite	Denmark
231691	A. Lafont	France
192012	D. Reyes	Mexico
146701	Iván Ramis	Spain
161805	V. Behrami	Switzerland
156432	G. Hoarau	France
52752	T. Barnetta	Switzerland
183569	E. Choupo-Moting	Cameroon
202515	Jesé	Spain
146963	J. Pinola	Argentina
205590	Luís Hernández	Spain
210455	Jonny	Spain
181271	B. Dočkal	Czech Republic
230168	Raphaelito Anjos	Brazil
184089	M. Carcela-González	Morocco
205850	L. Pavoletti	Italy
45595	D. Bonera	Italy
205340	Marcelo	Brazil
229148	Dalbert	Brazil
109852	G. McAuley	Northern Ireland
216349	A. Halilović	Croatia
225309	N. Amiri	Germany
